start_timestamp,original_round_index,original_test_id,merged_round_index,merged_test_id,step_evaluation,true_attack_type,predicted_attack_type,target_field,target_value,predicted_fail_score,absolute_error,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,timestamp
20260516_110816,6,86,6,86,20260516_110816|round_006|test_0086,StateTransferAttack,StateObservationAttack,fused_score,0.00023784881341271102,0.050774537947096465,0.050536689133683754,0.010409611256722536,0.05813659191666832,0.003961396292128234,0.007133972478610418,0.02815105000130996,0.18519343981275485,0.00899030117759338,0.003847328865679249,0.25968202150214237,0.01198270677969458,0.09152547067320177,0.026145290199004145,0.17005242990141375,0.05144905558392374,0.024087387783553314,0.05925194577559943,2026-05-21T08:05:18+00:00
20260516_110816,6,87,6,87,20260516_110816|round_006|test_0087,ActionAttack,ActionAttack,fused_score,0.0010022217174991965,0.11991084367875271,0.11890862196125351,0.10509923733147074,0.10410842695468533,0.02161824457960458,0.12440203302301467,0.0706764285931485,0.06563997347510238,0.09139643897463506,0.08134938177040431,0.14355143190546554,0.019222381262848687,0.06830921577674327,0.04677502679432489,0.015801048900483432,0.012082351584382619,0.0009923731753801678,0.028976005898305783,2026-05-21T08:05:18+00:00
20260516_110816,6,88,6,88,20260516_110816|round_006|test_0088,NoAttack,NoAttack,fused_score,8.669527596794069e-05,0.007262993901139547,0.0071762986251716065,0.019578894250855315,0.06614305213113199,0.027815953445816863,0.004349826469543,0.07979875480272541,0.03738113880044353,0.05115606136946697,0.15924384911301134,0.16248166334750574,0.0006809905059326657,0.08972983071579177,0.05655525490217766,0.08738608089409107,0.02662166955087096,0.05261364017342492,0.07846333952721075,2026-05-21T08:05:18+00:00
20260516_110816,6,89,6,89,20260516_110816|round_006|test_0089,ModelTampAttack,ModelTampAttack,fused_score,0.0036715948954224586,0.4865161103803237,0.48284451548490126,0.0008193296465760006,0.05180264434102104,0.004864846758015773,0.03502566316822585,0.08102456104569498,0.006949373458506524,0.012767344525375037,0.03685096574947187,0.039878350779310706,0.03191664924956132,0.028175316243474177,0.04881201787982087,0.02567819311550419,0.00829833363658264,0.013672424720302796,0.5734639856825563,2026-05-21T08:05:18+00:00
20260516_110816,6,90,6,90,20260516_110816|round_006|test_0090,StateTransferAttack,StateTransferAttack,fused_score,0.00039074092637747526,0.012315489566795068,0.011924748640417593,0.06816328277809076,0.023895363959255077,0.032949844762252566,0.00015202902341380828,0.05146332814811995,0.0023253527453700323,0.0030880925010704193,0.00165254692973261,0.2515874974877325,0.05580321872602824,0.15419215483216867,0.06399601396088615,0.19089017687734286,0.013752391736786686,0.03616630009024065,0.04992240544150898,2026-05-21T08:05:18+00:00
20260516_110816,6,91,6,91,20260516_110816|round_006|test_0091,NoAttack,NoAttack,fused_score,0.002067447640001774,0.16556813529069353,0.16350068765069176,0.12854044496232853,0.20894614392831964,0.011932093319683798,0.1484662274287643,0.01941771275177602,0.20138552711328922,0.009711913743111757,0.04783092796134543,0.023990909008490977,0.004033846377510336,0.008349703654101145,0.03138487019905912,0.04386569023785577,0.024495077917704333,0.03289712304212633,0.05475178835453332,2026-05-21T08:05:18+00:00
20260516_110816,6,92,6,92,20260516_110816|round_006|test_0092,RewardAttack,RewardAttack,fused_score,0.0008091104100458324,-0.18223596551256688,0.1830450759226127,0.03853398228933293,0.0031747707244081233,0.06275559969491096,0.2539948770626311,0.008261869277281064,0.05962810197822891,0.0012404845217229175,0.028986451677210354,0.027853837561790593,0.04801171704112028,0.07729467288043336,0.0940719166654944,0.03634768972403697,0.15468000565974316,0.028595516672951623,0.07656850656870315,2026-05-21T08:05:18+00:00
20260516_110816,6,93,6,93,20260516_110816|round_006|test_0093,StateTransferAttack,ActionAttack,fused_score,0.001212587347254157,0.03663885424756824,0.035426266900314085,0.022452770940357518,0.00418675354796816,0.09361433874547641,0.015784080955646068,0.006345663086637895,0.0038247939195139324,0.03598084790516016,0.07186483048721173,0.365748429501038,0.007270370858185345,0.14010072118783023,0.05815525623546015,0.021319948681077283,0.04063855780916466,0.014602511366843483,0.09811012477242895,2026-05-21T08:05:18+00:00
20260516_110816,6,94,6,94,20260516_110816|round_006|test_0094,NoAttack,NoAttack,fused_score,5.427987573303206e-11,-0.06744002278554279,0.06744002283982266,0.187431222885633,0.23590471606143035,0.00542232360047723,0.1486638518612758,0.014139024182815586,0.0226669689722621,0.0007570433621710967,0.019694238201244732,0.1581549838049427,0.013117869272000262,0.0016302549685922746,8.908397283194803e-05,0.0479032191176949,0.045049892942276744,0.023250551105717582,0.07612475568863361,2026-05-21T08:05:18+00:00
20260516_110816,6,95,6,95,20260516_110816|round_006|test_0095,StateObservationAttack,StateObservationAttack,fused_score,7.910673957667314e-06,0.03132577698003941,0.03131786630608174,0.12793544891601769,0.0411118553577362,0.006982595787280864,0.06646974341152162,0.023977955498445832,0.013919000288230392,0.007396990424524838,0.09435491492578402,0.23715382685114153,0.00018855132703578676,0.1932048399722269,0.04466565936268996,0.0639223221877937,0.024076917412691343,0.04515215788647097,0.009487220390408212,2026-05-21T08:05:18+00:00
